taxa,PC1,PC2,PC3
T,-22.4363027320175,-6.901027613194,-1.9798669982417
T,-23.093545923328,-6.35264254730155,-1.44589819692531
T,-23.3181288954962,-3.86235086032131,-1.29114433421419
T,-26.664127050229,-2.98938551593815,-5.72446308117034
T,-16.9092185963127,-1.61698015965836,-0.199699231556204
T,-19.758365897462,-3.42333405517831,0.788834375713576
T,-22.7014655827887,-0.247784740840557,-4.18556754098184
T,-22.013734176482,-4.72950497625729,-2.70313087271975
T,-24.1310320850036,-6.65963223136859,-3.26662395553866
T,-22.6463910910313,-6.73427477767011,-0.866261004718987
T,-26.1762019998193,-6.75348183044576,-5.84741585210001
T,-25.5954557755116,-8.75774332053792,-3.47797949237208
T,-24.3080134903063,0.974850662581676,-3.30506060730175
T,-19.825525664695,-0.157534904284891,-1.82723627848373
T,-19.3197738506639,-0.0596796989506031,-1.30697833279958
T,-21.5776564188295,-7.51504231674626,-0.481883500175273
T,-19.7008786880946,-6.81697230352875,1.73624340126077
T,-21.7930094953932,-4.57143474309027,1.67351156471718
T,-20.6430976234279,-8.75390176073153,1.04066594142424
T,-25.4424454719246,-2.73345455945256,-5.44621615851225
T,-24.3693312955273,-9.76790635536944,-2.66827708927383
T,17.6404761314673,-0.0978583276438034,1.807406465422
T,19.9316933572904,-0.661722585080088,5.47047042294629
T,22.585184163678,-1.30560633704401,2.32435104099466
T,22.7941489539301,-2.26975532167547,-0.934032227600423
T,26.9452049573451,-2.5294140737704,-4.38620267617806
T,25.2596831332559,-3.25575636966622,-5.80129078451921
T,22.0622742666086,-0.798226102612922,2.18648092491805
T,26.4194728421895,-3.34555955198932,-0.328820832254695
T,25.3519651376092,-0.455980054085414,-0.649649338648682
T,25.9336735138703,-1.48561585982157,-1.12639089556432
T,29.8208786445101,-1.15228623914741,-2.26156213361108
T,30.8891608493738,-1.70223897769235,-2.96639178928951
T,26.1291569338403,0.129876811606237,0.861920968503659
T,27.8050471103697,-4.12029780322258,-4.47110078631376
T,30.0020246273087,-3.90769188062336,-4.67098354050409
T,29.2312537837482,-3.78575202218598,-3.53926367936928
T,26.8917839580126,-3.38970768282861,-3.6391827920582
T,26.1454075003893,-4.77031506731558,-4.42325718049777
T,29.5052782707789,-5.79498936785092,-4.78369545649469
T,14.9628353269758,-2.34822957825312,6.20254015047242
T,7.64822661107951,-1.4522228029997,13.7753244727526
T,7.68669239884644,-0.651128933738869,13.0023967449399
T,27.8294279199264,-1.68108098407649,-2.21241749676952
T,8.39726992707337,-1.49208788847772,12.9874087272023
T,25.2917075368608,-1.77699173005189,-1.41308904212228
T,29.7581666650839,-3.46386020154931,-4.94919977976698
T,30.7839167757248,-6.04478348517326,-6.36387775427429
T,28.1896829335693,-6.12718961760317,-4.26305492539409
T,28.708197984149,-4.83703852095665,-6.40289053201362
T,21.6374206260324,-6.47163648092164,4.68519292907846
T,22.0789230659031,-4.67711344422101,4.24751944510469
T,24.2375879145341,-2.1068464180381,6.65714246500116
T,20.104648056323,-1.42605034579507,3.09982436256085
T,26.7598052970393,-2.71959354284144,1.54864096869153
T,25.6195351914302,-3.48875318513714,-0.759968594962242
T,24.9009655842695,-3.94718571440152,2.54276553685613
T,21.9634737848833,-3.30226372873489,4.99547553788257
T,23.1429403656663,-3.79060643383417,0.444415592487035
T,20.5876889773588,-7.07531421627739,-0.250686656412973
T,28.529391979594,-2.28526306054045,-2.04823445429048
T,28.9320930529394,-3.43036051144065,-1.78913754220651
T,29.9551973985874,-2.71329921252368,-2.93154480647969
T,29.06423855334,-2.4014866533761,-1.12473165500853
