taxa,PC1,PC2,PC3
T,-10.289656395095,1.76319080887241,19.58081625727
T,-12.0165664650823,1.78545416473363,17.8218223395452
T,-1.02638168730276,4.20351995034414,23.2453601065512
T,-6.71987053249734,3.49294338601678,23.8820300762772
T,-11.4147025106252,3.5037460963421,18.069516142546
T,-0.581160446082258,4.07006886522995,27.2538504187699
T,-11.954734381076,3.1840985459164,19.267455979917
T,8.65770552732337,1.59936593838602,29.0326307028009
T,7.45428166875633,0.420615358077584,27.6975416821939
T,6.99442191004011,2.27960870111473,28.2668937951389
T,7.36719048279253,0.984617378694956,28.7696305968603
T,7.26012404329027,0.508489867810027,28.9823797868398
T,8.09186868813528,2.19787994908727,29.1786481185937
T,7.25483094244647,0.245357358028891,27.6216671788431
T,4.5485963353496,1.33926385537347,29.0505842724143
T,6.01957808345414,1.98464149003151,29.7174345704491
T,6.0823414271313,1.94054088262533,27.5311987405548
T,9.00999351309178,0.971543813299023,29.5325110798246
T,5.57461528403701,2.47024202466794,28.6365393849966
T,7.34974689248822,1.73217251032617,27.5438988941264
T,9.00861071172288,1.46744143800521,28.5325301287517
T,-1.80075611009875,-9.0213895825771,11.9730428404351
T,-4.0278106905194,-11.0588772205945,10.3857220175087
T,-11.3332348967963,-14.8717816654733,5.80571734321511
T,-3.32954629974401,-12.4200639444541,11.0433613034973
T,-3.32954629974401,-12.4200639444541,11.0433613034973
T,0.580465042103345,-7.23302824062135,11.9816978618185
T,-7.37315419293588,-14.964359857432,8.77813784450698
T,-0.278672991712872,-7.75862957048118,11.5114987900006
T,-0.530150813497463,-3.3046544349436,15.6518951968301
T,-3.18400378032894,-5.80532609044805,13.2990551160518
T,-6.35502130280018,0.688554353810564,7.36524367970292
T,-3.02425727899146,-7.47475827611683,13.0135364452645
T,-4.23173703752141,-13.999396276956,8.67243146288071
T,-9.38798577931056,-13.0321057542784,6.9949884293228
T,-0.897907616513269,5.63581666552766,25.5100312246495
T,-6.55007564227817,8.32364032082046,20.8672559780221
T,-0.907014991539173,3.1255175032725,25.5728092142843
T,-2.92016419076739,4.22988918186592,23.6543520157265
T,0.658400362400517,5.56302260718556,28.7350352972169
T,0.629693255663134,5.52822955288205,28.8400843355457
T,-8.05948731555704,4.94816387237148,20.9205367704404
T,-0.969132275938737,5.23559862542279,23.1124855398456
T,-1.86269795449207,5.38353975442639,27.2838823810988
T,-1.7099983783376,-1.2046406451146,30.7623916449733
T,0.158823745439963,1.04825572497651,25.9485374138836
T,0.587731265665715,5.60138378147359,29.5554788725849
T,-1.11602459544062,4.51059285389627,21.3541281643878
T,1.45392306734248,3.2682407867058,26.7969074070129
T,-3.57627434415761,5.80517241596447,23.9612377844531
T,-5.02200797713177,9.32297575744806,19.9662084996309
T,0.556176258104856,1.18629759906453,26.5716940557311
T,-1.38627675639462,5.73748327244012,21.5095496477533
T,-25.4819960428892,-1.96950950713633,-4.70766729931251
T,-22.5542108851155,-4.55914591363835,-1.10384319571982
T,-21.1894345845837,-11.3716268849859,-0.348016087672804
T,-21.6102865641947,-11.3417934509751,-0.286762979155565
T,-21.4326404103901,-10.6209425133159,-0.0284396586532671
T,-25.8129137224172,-1.84802350202657,-5.54836203539529
T,-23.0164622596107,-6.59291817854443,-1.95878787492781
T,-22.6203112325057,-11.3558742457905,-0.618227879580279
T,-22.6161867715601,-4.17157734789993,-0.573974542578149
T,-21.2411540563292,-6.6470997621389,2.19446109284789
T,-23.8346293105991,-8.2366648188903,0.758634547237645
T,-22.4322159940362,-11.0947329749278,0.815212864798974
T,-24.5524286049059,-3.53596784041631,-4.46054143561832
T,-23.843408571048,-7.0458912381745,-2.12550318414803
T,-22.3317840063199,-11.0325845629672,-1.30782205656361
T,-22.0017068029246,-10.0209933184023,-1.28813188022047
T,-23.2546444313515,-11.0050576052166,-0.00153795674903108
T,-22.8695184264384,-10.3872235501232,0.837472914673208
T,-22.02016532,-6.83094697231855,-3.10466086831927
T,-23.5814004966007,-10.7753797480312,-0.57447169579105
T,-20.011692110212,-9.11859792505362,0.559557977889669
T,-23.2002663669126,-8.39892359347404,-1.62299212432381
C,-23.3489675940306,-9.87174987076492,-3.49927495018051
T,-18.6733223166297,-10.7752541989284,0.910324131935253
T,-25.2788289343395,-5.27992943703023,-5.73380958471379
T,-23.118885020371,-4.46414516531081,-2.96600862767053
T,-23.5763102647715,-5.04452825788483,-2.68495421825727
T,-22.6377947905731,-8.31917511123184,-1.73765887289117
T,-21.3589178988756,-8.85541120933478,-0.878474253856348
T,28.4380171846125,-2.17829799212095,-4.53496846361489
